===== Starting pico ===== 
[Motor] Init start 
[Motor] Init done 
[Encoder] Init start 
[Encoder] Init done 
[Accelerometer] Init start 
[Accelerometer] Init done 
[Ultrasonic] Init start 
[Ultrasonic] Init done 
[Comms] Init start 
[Comms] Init done 
T: 0.00s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 18.86s | SP: 30.00 | SPD R: 29.47 | DUTY R: 63 | [P]1.06 [I]6.92 [D]0.00 (Err: 0.53) 
T: 19.11s | SP: 30.00 | SPD L: 29.47 | DUTY L: 70 | [P]1.06 [I]23.13 [D]0.00 (Err: 0.53) 
T: 19.11s | SP: 30.00 | SPD R: 29.47 | DUTY R: 63 | [P]1.06 [I]6.76 [D]0.00 (Err: 0.53) 
T: 19.36s | SP: 30.00 | SPD L: 29.47 | DUTY L: 70 | [P]1.06 [I]23.14 [D]0.00 (Err: 0.53) 
T: 19.36s | SP: 30.00 | SPD R: 28.42 | DUTY R: 64 | [P]3.17 [I]7.07 [D]0.00 (Err: 1.58) 
T: 19.61s | SP: 30.00 | SPD L: 29.47 | DUTY L: 70 | [P]1.06 [I]23.13 [D]0.00 (Err: 0.53) 
T: 19.61s | SP: 30.00 | SPD R: 29.47 | DUTY R: 63 | [P]1.06 [I]7.28 [D]0.00 (Err: 0.53) 
T: 19.86s | SP: 30.00 | SPD L: 30.52 | DUTY L: 68 | [P]-1.04 [I]22.96 [D]0.00 (Err: -0.52) 
T: 19.86s | SP: 30.00 | SPD R: 29.47 | DUTY R: 63 | [P]1.06 [I]7.21 [D]0.00 (Err: 0.53) 
T: 20.12s | SP: 30.00 | SPD L: 28.42 | DUTY L: 70 | [P]3.17 [I]23.07 [D]0.00 (Err: 1.58) 
T: 20.12s | SP: 30.00 | SPD R: 30.52 | DUTY R: 62 | [P]-1.04 [I]7.03 [D]0.00 (Err: -0.52) 
T: 20.37s | SP: 30.00 | SPD L: 30.52 | DUTY L: 68 | [P]-1.04 [I]23.03 [D]0.00 (Err: -0.52) 
T: 20.37s | SP: 30.00 | SPD R: 29.47 | DUTY R: 63 | [P]1.06 [I]6.83 [D]0.00 (Err: 0.53) 
T: 20.62s | SP: 30.00 | SPD L: 29.47 | DUTY L: 69 | [P]1.06 [I]22.83 [D]0.00 (Err: 0.53) 
T: 20.62s | SP: 30.00 | SPD R: 29.47 | DUTY R: 63 | [P]1.06 [I]6.91 [D]0.00 (Err: 0.53) 
T: 20.87s | SP: 30.00 | SPD L: 29.47 | DUTY L: 70 | [P]1.06 [I]23.05 [D]0.00 (Err: 0.53) 
T: 20.87s | SP: 30.00 | SPD R: 29.47 | DUTY R: 63 | [P]1.06 [I]7.07 [D]0.00 (Err: 0.53) 
T: 21.12s | SP: 30.00 | SPD L: 30.52 | DUTY L: 69 | [P]-1.04 [I]23.19 [D]0.00 (Err: -0.52) 
T: 21.12s | SP: 30.00 | SPD R: 30.52 | DUTY R: 62 | [P]-1.04 [I]7.15 [D]0.00 (Err: -0.52) 
T: 21.37s | SP: 30.00 | SPD L: 29.47 | DUTY L: 70 | [P]1.06 [I]23.25 [D]0.00 (Err: 0.53) 
T: 21.37s | SP: 30.00 | SPD R: 30.52 | DUTY R: 62 | [P]-1.04 [I]7.05 [D]0.00 (Err: -0.52) 
T: 21.62s | SP: 30.00 | SPD L: 30.52 | DUTY L: 69 | [P]-1.04 [I]23.11 [D]0.00 (Err: -0.52) 
T: 21.62s | SP: 30.00 | SPD R: 30.52 | DUTY R: 62 | [P]-1.04 [I]6.86 [D]0.00 (Err: -0.52) 
T: 21.88s | SP: 30.00 | SPD L: 30.52 | DUTY L: 68 | [P]-1.04 [I]22.87 [D]0.00 (Err: -0.52) 
T: 21.88s | SP: 30.00 | SPD R: 29.47 | DUTY R: 63 | [P]1.06 [I]6.95 [D]0.00 (Err: 0.53) 
T: 22.13s | SP: 30.00 | SPD L: 30.52 | DUTY L: 68 | [P]-1.04 [I]22.80 [D]0.00 (Err: -0.52) 
T: 22.13s | SP: 30.00 | SPD R: 30.52 | DUTY R: 62 | [P]-1.04 [I]7.05 [D]0.00 (Err: -0.52) 
T: 22.38s | SP: 30.00 | SPD L: 29.47 | DUTY L: 69 | [P]1.06 [I]22.83 [D]0.00 (Err: 0.53) 
T: 22.38s | SP: 30.00 | SPD R: 30.52 | DUTY R: 62 | [P]-1.04 [I]6.96 [D]0.00 (Err: -0.52) 
T: 22.63s | SP: 30.00 | SPD L: 29.47 | DUTY L: 70 | [P]1.06 [I]23.27 [D]0.00 (Err: 0.53) 
T: 22.63s | SP: 30.00 | SPD R: 30.52 | DUTY R: 62 | [P]-1.04 [I]6.91 [D]0.00 (Err: -0.52) 
T: 22.88s | SP: 30.00 | SPD L: 30.52 | DUTY L: 69 | [P]-1.04 [I]23.39 [D]0.00 (Err: -0.52) 
T: 22.88s | SP: 30.00 | SPD R: 30.52 | DUTY R: 62 | [P]-1.04 [I]6.79 [D]0.00 (Err: -0.52) 
T: 23.13s | SP: 30.00 | SPD L: 30.52 | DUTY L: 69 | [P]-1.04 [I]23.32 [D]0.00 (Err: -0.52) 
T: 23.13s | SP: 30.00 | SPD R: 29.47 | DUTY R: 63 | [P]1.06 [I]6.93 [D]0.00 (Err: 0.53) 
T: 23.38s | SP: 30.00 | SPD L: 30.52 | DUTY L: 69 | [P]-1.04 [I]23.31 [D]0.00 (Err: -0.52) 
T: 23.38s | SP: 30.00 | SPD R: 30.52 | DUTY R: 62 | [P]-1.04 [I]7.07 [D]0.00 (Err: -0.52) 
T: 23.64s | SP: 30.00 | SPD L: 30.52 | DUTY L: 69 | [P]-1.04 [I]23.05 [D]0.00 (Err: -0.52) 
T: 23.64s | SP: 30.00 | SPD R: 30.52 | DUTY R: 62 | [P]-1.04 [I]6.98 [D]0.00 (Err: -0.52) 
T: 23.89s | SP: 30.00 | SPD L: 29.47 | DUTY L: 70 | [P]1.06 [I]23.12 [D]0.00 (Err: 0.53) 
T: 23.89s | SP: 30.00 | SPD R: 30.52 | DUTY R: 62 | [P]-1.04 [I]6.78 [D]0.00 (Err: -0.52) 
T: 24.14s | SP: 30.00 | SPD L: 30.52 | DUTY L: 69 | [P]-1.04 [I]23.22 [D]0.00 (Err: -0.52) 
T: 24.14s | SP: 30.00 | SPD R: 30.52 | DUTY R: 62 | [P]-1.04 [I]6.60 [D]0.00 (Err: -0.52) 
